MAC,SSID,AuthMode,FirstSeen,Channel,Frequency,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,RCOIs,MfgrId,Type,distance,distance_to_bains_des_paquis
98:25:4a:72:ac:28,yallo_68F04D_EXT,[WPA2-PSK-CCMP][RSN-PSK+SAE-CCMP][ESS],2024-10-05 15:13:27,3,2422,-85,46.20603847,6.158145854,426.9993896,3.790092468,,,WIFI,0.01392341813385681,1.553024912326349
10:5a:f7:66:9d:6b,CabaneBleu,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2024-10-05 15:13:27,36,5180,-80,46.20603847,6.158145854,426.9993896,3.790092468,,,WIFI,0.01392341813385681,1.553024912326349
da:b3:70:bc:13:8d,Wifi-QUAI-Gustave-Ador,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2024-10-05 15:13:27,161,5805,-87,46.20603847,6.158145854,426.9993896,3.790092468,,,WIFI,0.01392341813385681,1.553024912326349
9c:d6:43:2a:0a:b0,PI-CASH-2.4,[WPA2-PSK-CCMP+TKIP][RSN-PSK-CCMP+TKIP][WPA-PSK-CCMP+TKIP][ESS],2024-10-05 15:13:27,2,2417,-74,46.20603847,6.158145854,426.9993896,3.790092468,,,WIFI,0.01392341813385681,1.553024912326349
8e:1f:98:d4:41:a1,Shala07,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2024-10-05 15:13:27,6,2437,-75,46.20603847,6.158145854,426.9993896,3.790092468,,,WIFI,0.01392341813385681,1.553024912326349
00:05:fe:c6:d4:5f,10-7430 TRC447583,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2024-10-05 15:13:27,2,2417,-89,46.20603847,6.158145854,426.9993896,3.790092468,,,WIFI,0.01392341813385681,1.553024912326349
32:1f:22:94:04:f4,Galaxy rosi,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2024-10-05 15:13:27,6,2437,-74,46.20603847,6.158145854,426.9993896,3.790092468,,,WIFI,0.01392341813385681,1.553024912326349
da:b3:70:9c:13:8d,,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2024-10-05 15:13:27,161,5805,-87,46.20603847,6.158145854,426.9993896,3.790092468,,,WIFI,0.01392341813385681,1.553024912326349
30:ea:e7:bc:88:18,3000SP_2232-182201541,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2024-10-05 15:13:27,8,2447,-66,46.20603847,6.158145854,426.9993896,3.790092468,,,WIFI,0.01392341813385681,1.553024912326349
da:b3:70:cc:13:8d,Salon-lac,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2024-10-05 15:13:27,161,5805,-86,46.20603847,6.158145854,426.9993896,3.790092468,,,WIFI,0.01392341813385681,1.553024912326349
da:b3:70:ac:13:8d,,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2024-10-05 15:13:27,161,5805,-88,46.20603847,6.158145854,426.9993896,3.790092468,,,WIFI,0.01392341813385681,1.553024912326349
c0:4a:00:53:11:06,,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2024-10-05 15:13:32,2,2417,-81,46.20601802,6.158080072,425.1976318,3.790092468,,,WIFI,0.013855279204893977,1.5474643607446594
28:87:ba:ff:9c:e8,gustavearh,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],2024-10-05 15:13:32,4,2427,-84,46.20601802,6.158080072,425.1976318,3.790092468,,,WIFI,0.013855279204893977,1.5474643607446594
98:25:4a:72:ac:27,yallo_68F04D_EXT,[WPA2-PSK-CCMP][RSN-PSK+SAE-CCMP][ESS],2024-10-05 15:13:32,44,5220,-91,46.20601802,6.158080072,425.1976318,3.790092468,,,WIFI,0.013855279204893977,1.5474643607446594
9c:d6:43:2a:0a:b8,PI-CASH-5,[WPA2-PSK-CCMP+TKIP][RSN-PSK-CCMP+TKIP][WPA-PSK-CCMP+TKIP][ESS],2024-10-05 15:13:32,40,5200,-77,46.20601802,6.158080072,425.1976318,3.790092468,,,WIFI,0.013855279204893977,1.5474643607446594
ea:c1:75:d5:f5:f8,OPPO A72,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2024-10-05 15:13:32,1,2412,-78,46.20601802,6.158080072,425.1976318,3.790092468,,,WIFI,0.013855279204893977,1.5474643607446594
d2:40:ef:76:80:b5,My VW 1062,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],2024-10-05 15:13:32,6,2437,-80,46.20601802,6.158080072,425.1976318,3.790092468,,,WIFI,0.013855279204893977,1.5474643607446594
a0:b5:49:5c:dd:d8,rtt-16693,[WPA2-PSK-CCMP][RSN-PSK+SAE-CCMP][ESS][WPS],2024-10-05 15:13:32,11,2462,-91,46.20601802,6.158080072,425.1976318,3.790092468,,,WIFI,0.013855279204893977,1.5474643607446594
c0:4a:00:53:11:06,,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2024-10-05 15:13:37,2,2417,-75,46.20598604,6.158017041,424.8215332,3.790092468,,,WIFI,0.01378461396185019,1.5415417815746693
1c:b0:44:f3:34:b4,dkp-14349,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],2024-10-05 15:13:37,100,5500,-84,46.20598604,6.158017041,424.8215332,3.790092468,,,WIFI,0.01378461396185019,1.5415417815746693
8c:fe:74:5a:21:97,Configure.Me-1A2190,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2024-10-05 15:13:37,124,5620,-94,46.20598604,6.158017041,424.8215332,3.790092468,,,WIFI,0.01378461396185019,1.5415417815746693
9c:d6:43:2a:0a:b0,PI-CASH-2.4,[WPA2-PSK-CCMP+TKIP][RSN-PSK-CCMP+TKIP][WPA-PSK-CCMP+TKIP][ESS],2024-10-05 15:13:37,2,2417,-68,46.20598604,6.158017041,424.8215332,3.790092468,,,WIFI,0.01378461396185019,1.5415417815746693
9c:d6:43:2a:0a:b8,PI-CASH-5,[WPA2-PSK-CCMP+TKIP][RSN-PSK-CCMP+TKIP][WPA-PSK-CCMP+TKIP][ESS],2024-10-05 15:13:37,40,5200,-69,46.20598604,6.158017041,424.8215332,3.790092468,,,WIFI,0.01378461396185019,1.5415417815746693
ea:c1:75:d5:f5:f8,OPPO A72,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2024-10-05 15:13:37,1,2412,-72,46.20598604,6.158017041,424.8215332,3.790092468,,,WIFI,0.01378461396185019,1.5415417815746693
da:e2:03:20:b3:51,Alejandros-Galaxy S21 FE 5G A659,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2024-10-05 15:13:37,11,2462,-87,46.20598604,6.158017041,424.8215332,3.790092468,,,WIFI,0.01378461396185019,1.5415417815746693
32:1f:22:94:04:f4,Galaxy rosi,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2024-10-05 15:13:37,6,2437,-69,46.20598604,6.158017041,424.8215332,3.790092468,,,WIFI,0.01378461396185019,1.5415417815746693
38:35:fb:55:c0:d5,Sunrise_5GHz_55C0CC,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],2024-10-05 15:13:37,52,5260,-90,46.20598604,6.158017041,424.8215332,3.790092468,,,WIFI,0.01378461396185019,1.5415417815746693
1c:24:cd:70:c4:f4,Cleopatra,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],2024-10-05 15:13:37,52,5260,-92,46.20598604,6.158017041,424.8215332,3.790092468,,,WIFI,0.01378461396185019,1.5415417815746693
3a:1a:52:55:59:e1,DIRECT-5255D9E1,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],2024-10-05 15:13:42,1,2412,-75,46.20595876,6.157938784,423.9111328,3.790092468,,,WIFI,0.013702277596671067,1.5347850151994504
88:41:fc:8b:3a:13,,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS][MFPC],2024-10-05 15:13:42,100,5500,-90,46.20595876,6.157938784,423.9111328,3.790092468,,,WIFI,0.013702277596671067,1.5347850151994504
4e:60:ba:33:9a:43,phi_4C62953218A9,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2024-10-05 15:13:42,1,2412,-89,46.20595876,6.157938784,423.9111328,3.790092468,,,WIFI,0.013702277596671067,1.5347850151994504
10:5a:f7:66:9d:6b,CabaneBleu,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2024-10-05 15:13:42,36,5180,-66,46.20595876,6.157938784,423.9111328,3.790092468,,,WIFI,0.013702277596671067,1.5347850151994504
60:e3:27:d8:95:24,,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2024-10-05 15:13:42,2,2417,-69,46.20595876,6.157938784,423.9111328,3.790092468,,,WIFI,0.013702277596671067,1.5347850151994504
f4:cf:e2:54:4d:5f,((o)) ville-geneve,[ESS],2024-10-05 15:13:42,136,5680,-90,46.20595876,6.157938784,423.9111328,3.790092468,,,WIFI,0.013702277596671067,1.5347850151994504
9c:d6:43:2a:0a:b0,PI-CASH-2.4,[WPA2-PSK-CCMP+TKIP][RSN-PSK-CCMP+TKIP][WPA-PSK-CCMP+TKIP][ESS],2024-10-05 15:13:42,2,2417,-63,46.20595876,6.157938784,423.9111328,3.790092468,,,WIFI,0.013702277596671067,1.5347850151994504
10:5a:f7:63:77:d8,zmk-25434,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2024-10-05 15:13:42,11,2462,-88,46.20595876,6.157938784,423.9111328,3.790092468,,,WIFI,0.013702277596671067,1.5347850151994504
10:5a:f7:66:9d:68,CabaneBleu,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2024-10-05 15:13:42,1,2412,-69,46.20595876,6.157938784,423.9111328,3.790092468,,,WIFI,0.013702277596671067,1.5347850151994504
b4:ee:b4:71:b2:36,mxd-94714,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],2024-10-05 15:13:42,11,2462,-92,46.20595876,6.157938784,423.9111328,3.790092468,,,WIFI,0.013702277596671067,1.5347850151994504
8e:1f:98:d4:41:a1,Shala07,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2024-10-05 15:13:42,6,2437,-69,46.20595876,6.157938784,423.9111328,3.790092468,,,WIFI,0.013702277596671067,1.5347850151994504
da:e2:03:20:b3:51,Alejandros-Galaxy S21 FE 5G A659,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2024-10-05 15:13:42,11,2462,-82,46.20595876,6.157938784,423.9111328,3.790092468,,,WIFI,0.013702277596671067,1.5347850151994504
1c:67:58:df:61:82,HUAWEI-6182,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],2024-10-05 15:13:42,9,2452,-82,46.20595876,6.157938784,423.9111328,3.790092468,,,WIFI,0.013702277596671067,1.5347850151994504
30:ea:e7:bc:88:18,3000SP_2232-182201541,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2024-10-05 15:13:42,8,2447,-50,46.20595876,6.157938784,423.9111328,3.790092468,,,WIFI,0.013702277596671067,1.5347850151994504
6c:99:61:2d:5b:b5,FibreBox_X6-2D5BB7,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],2024-10-05 15:13:47,116,5580,-74,46.20592942,6.157882911,423.5230713,3.790092468,,,WIFI,0.013639205408316285,1.5294882706758968
26:35:fb:55:c0:d5,Sunrise_TV_55C0CC,[WPA2-PSK-CCMP+TKIP][RSN-PSK-CCMP+TKIP][WPA-PSK-CCMP+TKIP][ESS][WPS],2024-10-05 15:13:47,52,5260,-81,46.20592942,6.157882911,423.5230713,3.790092468,,,WIFI,0.013639205408316285,1.5294882706758968
6c:99:61:2d:5b:b4,FibreBox_X6-2D5BB7,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],2024-10-05 15:13:47,6,2437,-75,46.20592942,6.157882911,423.5230713,3.790092468,,,WIFI,0.013639205408316285,1.5294882706758968
2e:87:ba:ff:a7:f2,,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2024-10-05 15:13:47,4,2427,-86,46.20592942,6.157882911,423.5230713,3.790092468,,,WIFI,0.013639205408316285,1.5294882706758968
88:41:fc:8b:3a:13,,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS][MFPC],2024-10-05 15:13:47,100,5500,-85,46.20592942,6.157882911,423.5230713,3.790092468,,,WIFI,0.013639205408316285,1.5294882706758968
a0:b5:49:a8:f4:80,bha-54579,[WPA2-PSK-CCMP][RSN-PSK+SAE-CCMP][ESS][WPS],2024-10-05 15:13:47,100,5500,-94,46.20592942,6.157882911,423.5230713,3.790092468,,,WIFI,0.013639205408316285,1.5294882706758968
10:5a:f7:5d:a2:7b,btr-73266,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2024-10-05 15:13:47,100,5500,-89,46.20592942,6.157882911,423.5230713,3.790092468,,,WIFI,0.013639205408316285,1.5294882706758968
1c:b0:44:f3:34:b4,dkp-14349,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],2024-10-05 15:13:47,100,5500,-74,46.20592942,6.157882911,423.5230713,3.790092468,,,WIFI,0.013639205408316285,1.5294882706758968
d8:fb:5e:f1:7b:84,iki-24802,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],2024-10-05 15:13:47,60,5300,-91,46.20592942,6.157882911,423.5230713,3.790092468,,,WIFI,0.013639205408316285,1.5294882706758968
08:bd:43:bd:8d:42,,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2024-10-05 15:13:47,6,2437,-65,46.20592942,6.157882911,423.5230713,3.790092468,,,WIFI,0.013639205408316285,1.5294882706758968
10:5a:f7:66:9d:6b,CabaneBleu,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2024-10-05 15:13:47,36,5180,-61,46.20592942,6.157882911,423.5230713,3.790092468,,,WIFI,0.013639205408316285,1.5294882706758968
a4:ce:da:c9:a9:60,kek-83665,[WPA2-PSK-CCMP][RSN-PSK+SAE-CCMP][ESS][WPS],2024-10-05 15:13:47,100,5500,-92,46.20592942,6.157882911,423.5230713,3.790092468,,,WIFI,0.013639205408316285,1.5294882706758968
da:b3:70:2c:13:8d,Wifi-QUAI-Gustave-Ador,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2024-10-05 15:13:47,1,2412,-78,46.20592942,6.157882911,423.5230713,3.790092468,,,WIFI,0.013639205408316285,1.5294882706758968
20:83:f8:be:e7:b8,Pangea,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2024-10-05 15:13:47,120,5600,-92,46.20592942,6.157882911,423.5230713,3.790092468,,,WIFI,0.013639205408316285,1.5294882706758968
ee:5c:84:ed:dd:a7,My VW 3225,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],2024-10-05 15:13:47,40,5200,-93,46.20592942,6.157882911,423.5230713,3.790092468,,,WIFI,0.013639205408316285,1.5294882706758968
c4:eb:43:7c:28:f3,Sunrise_2127910,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],2024-10-05 15:13:47,124,5620,-93,46.20592942,6.157882911,423.5230713,3.790092468,,,WIFI,0.013639205408316285,1.5294882706758968
cc:d4:2e:fe:72:dc,mxd-94714,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],2024-10-05 15:13:47,1,2412,-87,46.20592942,6.157882911,423.5230713,3.790092468,,,WIFI,0.013639205408316285,1.5294882706758968
10:5a:f7:66:9d:68,CabaneBleu,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2024-10-05 15:13:47,1,2412,-64,46.20592942,6.157882911,423.5230713,3.790092468,,,WIFI,0.013639205408316285,1.5294882706758968
7e:45:58:12:87:e4,La Voile,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2024-10-05 15:13:47,149,5745,-85,46.20592942,6.157882911,423.5230713,3.790092468,,,WIFI,0.013639205408316285,1.5294882706758968
b4:ee:b4:71:b2:36,mxd-94714,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],2024-10-05 15:13:47,11,2462,-87,46.20592942,6.157882911,423.5230713,3.790092468,,,WIFI,0.013639205408316285,1.5294882706758968
a4:ce:da:cd:c8:90,PJ QGA20 K20,[WPA2-PSK-CCMP][RSN-PSK+SAE-CCMP][ESS][WPS],2024-10-05 15:13:47,100,5500,-90,46.20592942,6.157882911,423.5230713,3.790092468,,,WIFI,0.013639205408316285,1.5294882706758968
7c:b7:33:63:5f:39,npi-76311,[WPA2-PSK-CCMP+TKIP][RSN-PSK-CCMP+TKIP][WPA-PSK-CCMP+TKIP][ESS][WPS],2024-10-05 15:13:47,11,2462,-76,46.20592942,6.157882911,423.5230713,3.790092468,,,WIFI,0.013639205408316285,1.5294882706758968
10:5a:f7:6f:bb:08,hcn-83383,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2024-10-05 15:13:47,11,2462,-77,46.20592942,6.157882911,423.5230713,3.790092468,,,WIFI,0.013639205408316285,1.5294882706758968
6e:99:61:2d:5b:b7,,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2024-10-05 15:13:47,116,5580,-75,46.20592942,6.157882911,423.5230713,3.790092468,,,WIFI,0.013639205408316285,1.5294882706758968
78:8c:b5:97:36:aa,FG-WiFi,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],2024-10-05 15:13:47,44,5220,-91,46.20592942,6.157882911,423.5230713,3.790092468,,,WIFI,0.013639205408316285,1.5294882706758968
da:b3:70:3c:13:8d,Salon-lac,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2024-10-05 15:13:47,1,2412,-80,46.20592942,6.157882911,423.5230713,3.790092468,,,WIFI,0.013639205408316285,1.5294882706758968
38:35:fb:55:c0:d5,Sunrise_5GHz_55C0CC,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],2024-10-05 15:13:47,52,5260,-81,46.20592942,6.157882911,423.5230713,3.790092468,,,WIFI,0.013639205408316285,1.5294882706758968
8a:5a:85:19:6a:41,DIRECT-MBUX 15375,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],2024-10-05 15:13:52,149,5745,-92,46.20589454,6.157840481,422.0944214,3.790092468,,,WIFI,0.013585837365542168,1.5248642914461337
88:41:fc:8b:3a:17,,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS][MFPC],2024-10-05 15:13:52,100,5500,-95,46.20589454,6.157840481,422.0944214,3.790092468,,,WIFI,0.013585837365542168,1.5248642914461337
86:45:58:12:87:e4,,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2024-10-05 15:13:52,149,5745,-85,46.20589454,6.157840481,422.0944214,3.790092468,,,WIFI,0.013585837365542168,1.5248642914461337
f4:30:b9:41:56:f0,DIRECT-EF-HP OfficeJet Pro 8710,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],2024-10-05 15:13:52,6,2437,-80,46.20589454,6.157840481,422.0944214,3.790092468,,,WIFI,0.013585837365542168,1.5248642914461337
08:bd:43:bd:8d:42,,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2024-10-05 15:13:52,6,2437,-55,46.20589454,6.157840481,422.0944214,3.790092468,,,WIFI,0.013585837365542168,1.5248642914461337
10:5a:f7:66:9d:68,CabaneBleu,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2024-10-05 15:13:52,1,2412,-55,46.20589454,6.157840481,422.0944214,3.790092468,,,WIFI,0.013585837365542168,1.5248642914461337
a0:b5:49:21:d1:90,Btec,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],2024-10-05 15:13:52,100,5500,-93,46.20589454,6.157840481,422.0944214,3.790092468,,,WIFI,0.013585837365542168,1.5248642914461337
a0:b5:49:c4:6f:a0,DPH-78314,[WPA2-PSK-CCMP][RSN-PSK+SAE-CCMP][ESS][WPS],2024-10-05 15:13:52,100,5500,-89,46.20589454,6.157840481,422.0944214,3.790092468,,,WIFI,0.013585837365542168,1.5248642914461337
a4:ce:da:90:17:80,bpu-96655,[WPA2-PSK-CCMP][RSN-PSK+SAE-CCMP][ESS][WPS],2024-10-05 15:13:52,100,5500,-90,46.20589454,6.157840481,422.0944214,3.790092468,,,WIFI,0.013585837365542168,1.5248642914461337
a4:ce:da:d2:94:70,VAE-33907,[WPA2-PSK-CCMP][RSN-PSK+SAE-CCMP][ESS][WPS],2024-10-05 15:13:57,100,5500,-93,46.20587254,6.157783848,422.6379395,3.790092468,,,WIFI,0.013525268135556285,1.5198669746592506
a4:ce:da:90:17:80,bpu-96655,[WPA2-PSK-CCMP][RSN-PSK+SAE-CCMP][ESS][WPS],2024-10-05 15:13:57,100,5500,-85,46.20587254,6.157783848,422.6379395,3.790092468,,,WIFI,0.013525268135556285,1.5198669746592506
1c:67:58:df:61:82,HUAWEI-6182,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],2024-10-05 15:14:02,9,2452,-70,46.20584803,6.157719933,423.3184814,3.790092468,,,WIFI,0.013457051341409891,1.5142423851768654
22803_46001_28928299,Salt Mobile SA,LTE;ch,2024-10-05 15:14:02,522,522,-113,46.20584803,6.157719933,423.3184814,3.790092468,,,GSM,0.013457051341409891,1.5142423851768654
22803_46001_28928299,Salt Mobile SA,LTE;ch,2024-10-05 15:14:02,522,522,-102,46.20584803,6.157719933,423.3184814,3.790092468,,,GSM,0.013457051341409891,1.5142423851768654
48:e1:e9:b5:cf:28,Meross_SW_CF28,[ESS],2024-10-05 15:14:07,1,2412,-91,46.2058444,6.157633246,422.618042,3.790092468,,,WIFI,0.013377444474055384,1.5080286665696359
